word_id,english,russian,next_repetition_date,interval_hours,ease_factor,repetitions
1634238749, back-end-loaded,с упором на конец периода,2026-01-05 18:58:38,2.5,2.5,1
1046482075, be on par with,будьте наравне с,2026-01-05 18:58:38,2.5,2.5,1
1037056975, sick leave,отпуск по болезни,2026-01-05 18:58:38,2.5,2.5,1
1124147930, we are on the cusp of monsoon season,мы находимся на пороге сезона муссонов,2026-01-05 18:58:38,2.5,2.5,1
1403750885,5% dearer,На 5% дороже,2026-01-05 18:58:38,2.5,2.5,1
1664521817,A back-end-loaded mutual fund charges fees when you sell your shares,Фонд с комиссией на выходе берет плату при продаже акций,2026-01-05 18:58:38,2.5,2.5,1
1453473280,A bird in the hand is worth two in the bush,синица в руке стоит двух в кустах,2026-01-05 18:58:38,2.5,2.5,1
18688198,A carrot and stick (approach),метод кнута и пряника,2026-01-05 18:58:38,2.5,2.5,1
1900292860,"A couple hours, tops",Максимум на пару часов,2026-01-05 18:58:38,2.5,2.5,1
1783148902,"A great relationship is not only finding the person you have fun with, but also finding the person you want to be bored with because The beauty of long-term relationships is often hidden in boring, ordinary moments","Отличные отношения заключаются не только в том, чтобы найти человека, с которым вам весело, но и в том, чтобы найти того, с кем вам будет не скучно даже в рутинные моменты. Красота долгосрочных отношений часто скрыта в скучных, обыденных моментах.",2026-01-05 18:58:38,2.5,2.5,1
1511930466,A heated argument ensued after his remark,После его замечания разгорелся жаркий спор,2026-01-06 04:36:18,12.0,2.3,0
1454017318,A heated debate ensued after the controversial decision,После этого спорного решения разгорелись жаркие дебаты,2026-01-05 19:06:18,2.5,2.5,1
1213637950,A life raft,"метафорически — как «последний шанс», «спасение»",2026-01-05 19:06:18,2.5,2.5,1
1462422743,A rakish grin spread across his face,"На его лице появилась озорная, чуть развратная ухмылка",2026-01-05 19:06:18,2.5,2.5,1
1897417715,A small leak will sink a great ship. Benjamin Franklina.,Маленькая течь топит большой корабль. Бе́нджамин Франклин.,2026-01-05 19:06:18,2.5,2.5,1
1279912630,ATTENTION WHORE,"человек, которые постоянно пытается привлечь к себе внимание",2026-01-05 19:06:18,2.5,2.5,1
1328338209,Actuarial analysis shows the pension fund is underfunded,"Актуарный (статистический, оценочный) анализ показывает, что пенсионный фонд недофинансирован",2026-01-05 19:06:18,2.5,2.5,1
1770669223,Addressable Market,Целевой Рынок,2026-01-05 19:06:18,2.5,2.5,1
2155,Afar,издалека,2026-01-05 19:06:18,2.5,2.5,1
1735648856,"After losing his job, he learned how cold the floor can be","Потеряв работу, он узнал, каким холодным может быть пол",2026-01-05 19:06:18,2.5,2.5,1
1702864797,"After the long negotiations, I felt like my threads were stripped",После долгих переговоров я чувствовал себя полностью вымотанным,2026-01-05 15:31:15,12.0,2.5,0
1102580107,"After the scandal, the investor turned off the tap",После скандала инвестор перекрыл кран,2026-01-05 15:31:15,12.0,2.5,0
1821399684,"After trying our new menu, we trust you will experience similar satisfaction as our regular customer","Мы надеемся, что, попробовав наше новое меню, вы испытаете такое же удовлетворение, как и наш постоянный клиент",2026-01-05 15:31:15,12.0,2.5,0
1246213493,"After years of trying to fix the project, he finally threw in the towel",После многих лет попыток исправить проект он наконец сдался,2026-01-05 15:31:15,12.0,2.5,0
1950573227,All our efforts came to nought,Все наши усилия ни к чему не привели,2026-01-05 15:31:15,12.0,2.5,0
2628,Aloft,в воздухе; ввысь,2026-01-05 15:31:15,12.0,2.5,0
1732506469,And what are the main risks that you see in this strategy,"И каковы основные риски, которые вы видите в этой стратегии?",2026-01-05 15:31:15,12.0,2.5,0
1322385913,Any suggestions you care to make concerning this case will be much appreciated,"Будем очень признательны за любые предложения, которые вы захотите сделать по этому делу.",2026-01-05 15:31:15,12.0,2.5,0
