keyword,sellers_number
hair dryer,1454
ps5 games,14075
car accessories,30182
milk,56365
shampoo,48347
pencil case,41656
perfumes for ladies,660
perfume,40813
watch,860
gold coin 24 karat,0
ipad air,43747
perfume mens,644
ps5,15550
ps5 controller,539
coffee table,22623
lipstick,1942
safety shoes for men,6978
trimmer for men,855
food,3643
dress,724
coffee machine,17722
shoe rack,1935
sunscreen,29365
tablet,37753
tab,1472
bluetooth speaker,1147
blanket,882
cake,18100
kids toys,377425
العاب,1273283
backpack for men,901
bags for men,1888
school bag,0
bags,992108
guess bags for ladies,1523
cap for men,1272
laundry basket,734
carpet,24914
gifts for ladies,960
books,1844
makeup,1949
cookware set,1914
mop,839
wardrobe,17021
tissue box,9666
tissue,13195
coconut oil,9474
notebook,1700
essence,1736
hair serum,1804
toys for boys,702
perfumes,750
football shoes,282
collagen,19022
hair color,842
clothes dryer stand,781
flowers,1860
pen,1676
cake birthday,1686
flowers bouquet fresh,0
ايباد,185106
ipad 10th generation,580
ipad 11,454
gold,973
men perfume,460
perfume mens long lasting,2524
playstation 5,15550
ps5 pro,2001
sofa,1982
sofa bed,1946
sheglam,1109
shirt for men,806
face wash,36724
trimmer,795
school bags for girls,14057
styli,655
light,564360
iron box,2528
shoe rack cabinet,1958
home box,1821
curtain,0
sunscreen spf 50,5970
samsung tablet,1513
huawei matepad 11.5,1667
laptop stand,1763
pimple patch,1909
travel bag,1741
speaker,543
soundbar,1402
tv stand,1981
hand blender,1500
eggs,10412
toys,44285
backpack,884
laptop bag,699
bags for ladies,12726
tote bag,961
azelaic acid,0
cream,38899
tretinoin cream,890
face cream,1521
???? ???,4062
yarn,1705
paint,1671
acrylic paint,14655
clay,868
coloring book,4948
double sided tape,5653
bathroom,224631
mask,99257
gym gloves for men,1217
gym clothes men,2446
gym gloves,1315
headband,50721
knee supporter for men,3197
new born baby items,1285
baby,692015
blanket double bed,1844
blanket king size,941
blanket single,4899
baby clothes,465
gift for girls,0
birthday,204176
birthday party decoration,845
balloons,777
balloon,769
baby toys,1586
????? ?????,15
toys for boys 4-5 years old,20977
toy,1153745
bag pack,68378
???? ???,4062
travel backpack,25984
laptop backpack,0
travel bags for men,0
laptop bag for men,7804
backpack for school,995
office bags for men,906
backpack for ladies,1744
school bags,48646
american tourister backpack,460
backpack for girls,1887
???? ?????,15
bag organizer,988
pouch,50463
makeup bag,44132
toiletry bag,43494
organizer,320456
???,12780
handbags,1919
handbag,158651
hand bag,36959
handbags ladies,987
???? ?? ??????,343
women bag,12749
purse for ladies,1943
ladies handbag,987
hand bag ladies,987
shoulder bag for ladies,6079
shoulder bag,986
????,12984
tote bag for ladies,1925
aldo bags for ladies,1785
gucci bag,112
crossbody bag for ladies,3709
aldo bags,1273
guess,5778
tote bags,977
guess bag,1561
kitchen,2955261
fruits,1552
eggs 30,1896
fruits and vegetables,31244
new era cap for men,1600
men cap,36013
cap,648
